#### RESULT packet 0 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,5
Software binning,6 
PAT binning,6 
Tests executed,16 

Test#,TestName,Nb. results,Results
308,PIN3 IN3,1,-4.6843200922e-001
309,PIN4 IN4,1,-4.6852698922e-001
310,PIN5 IN5,1,-4.6829900146e-001
311,PIN2 IN2,1,-4.6852800250e-001
312,PIN26 POK,1,-6.1913597584e-001
313,PIN30 EN,1,-4.9703198671e-001
314,PIN27 FB,1,-4.9406701326e-001
315,PIN29 OTP,1,-4.9744299054e-001
316,EXPOSED_PAD,1,5.0592899323e-002
401,Vfb_pre,1,5.9835398197e-001
402,Vout_pre,1,1.7959599495e+000
403,Vfb_err,1,1.6437399387e-001
406,Vfb Err Post Expected,1,1.0237400234e-001
407,Vref_post,1,4.5436900109e-004
409,Vfb_post,1,5.9839600325e-001
410,Ibias_pre,0,n/a 
411,Ibias_err,0,n/a 
412,IbiasPost,0,n/a 
414,IbiasErr2,0,n/a 
415,Ilim8_pre,0,n/a 
416,Ilim_err,0,n/a 
417,Ilim8Post,0,n/a 
418,Ilim_err2,0,n/a 
420,Ilim8_sc,0,n/a 
421,IlimSCerr,0,n/a 
502,Ishdn,0,n/a 
503,Icc1425,0,n/a 
504,Icc18,0,n/a 
505,Icc36,0,n/a 
506,Ien_high,0,n/a 
507,Idrop_out,0,n/a 
508,Ien_low,0,n/a 
509,Ifb,0,n/a 
511,Ipok/r,0,n/a 
601,VO14_2mA,0,n/a 
602,VFB14_2mA,0,n/a 
603,VO36_2mA,0,n/a 
604,VFB36_2mA,0,n/a 
605,Line_Reg,0,n/a 
606,TM_CHECK,0,n/a 
607,VO18_4A,0,n/a 
609,VFB18_4A,0,n/a 
610,TM_CHECK,0,n/a 
611,VO36_4A,0,n/a 
613,VFB36_4A,0,n/a 
614,TM_CHECK,0,n/a 
615,VO14_4A,0,n/a 
617,VFB14_4A,0,n/a 
618,Load_Reg,0,n/a 
619,VO_Char,0,n/a 
620,TM_CHECK,0,n/a 
621,V_DO_TM,0,n/a 
622,I_DO_TM,0,n/a 
623,V_DO_RM,0,n/a 
624,I_DO_RM,0,n/a 
625,RATIO,0,n/a 
713,POK_LowV,0,n/a 
714,POK_del,0,n/a 

#########################################

#### RESULT packet 4 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,5
Software binning,6 
PAT binning,6 
Tests executed,16 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-2.4094000459e-001
302,PIN8 OUT2,1,-4.8038798571e-001
303,PIN9 OUT3,1,-4.7886800766e-001
304,PIN10 OUT4,1,-4.7864401340e-001
305,PIN11 OUT5,1,-4.7903299332e-001
306,PIN6 IN6,1,-2.2258199751e-003
307,PIN7 OUT1,1,-1.8619799521e-003
308,PIN3 IN3,1,-4.7867700458e-001
309,PIN4 IN4,1,-4.7827199101e-001
310,PIN5 IN5,1,-4.7841799259e-001
311,PIN2 IN2,1,-4.7964799404e-001
312,PIN26 POK,1,-4.9723398685e-001
313,PIN30 EN,1,-4.9490800500e-001
314,PIN27 FB,1,-4.9431601167e-001
315,PIN29 OTP,1,-4.9530699849e-001
316,EXPOSED_PAD,1,5.0468098372e-002
401,Vfb_pre,0,n/a 
402,Vout_pre,0,n/a 
403,Vfb_err,0,n/a 
406,Vfb Err Post Expected,0,n/a 
407,Vref_post,0,n/a 
409,Vfb_post,0,n/a 
410,Ibias_pre,0,n/a 
411,Ibias_err,0,n/a 
412,IbiasPost,0,n/a 
414,IbiasErr2,0,n/a 
415,Ilim8_pre,0,n/a 
416,Ilim_err,0,n/a 
417,Ilim8Post,0,n/a 
418,Ilim_err2,0,n/a 
420,Ilim8_sc,0,n/a 
421,IlimSCerr,0,n/a 
502,Ishdn,0,n/a 
503,Icc1425,0,n/a 
504,Icc18,0,n/a 
505,Icc36,0,n/a 
506,Ien_high,0,n/a 
507,Idrop_out,0,n/a 
508,Ien_low,0,n/a 
509,Ifb,0,n/a 
511,Ipok/r,0,n/a 
601,VO14_2mA,0,n/a 
602,VFB14_2mA,0,n/a 
603,VO36_2mA,0,n/a 
604,VFB36_2mA,0,n/a 
605,Line_Reg,0,n/a 
606,TM_CHECK,0,n/a 
607,VO18_4A,0,n/a 
609,VFB18_4A,0,n/a 
610,TM_CHECK,0,n/a 
611,VO36_4A,0,n/a 
613,VFB36_4A,0,n/a 
614,TM_CHECK,0,n/a 
615,VO14_4A,0,n/a 
617,VFB14_4A,0,n/a 
618,Load_Reg,0,n/a 
619,VO_Char,0,n/a 
620,TM_CHECK,0,n/a 
621,V_DO_TM,0,n/a 
622,I_DO_TM,0,n/a 
623,V_DO_RM,0,n/a 
624,I_DO_RM,0,n/a 
625,RATIO,0,n/a 
713,POK_LowV,0,n/a 
714,POK_del,0,n/a 

#########################################

#### RESULT packet 5 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,5
Software binning,1 
PAT binning,1 
Tests executed,65 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-4.6382200718e-001
302,PIN8 OUT2,1,-4.7163999081e-001
303,PIN9 OUT3,1,-4.9061301351e-001
304,PIN10 OUT4,1,-4.9251401424e-001
305,PIN11 OUT5,1,-4.9302598834e-001
306,PIN6 IN6,1,-3.6768800020e-001
307,PIN7 OUT1,1,-4.7295299172e-001
308,PIN3 IN3,1,-4.7005599737e-001
309,PIN4 IN4,1,-4.7015100718e-001
310,PIN5 IN5,1,-4.6992298961e-001
311,PIN2 IN2,1,-4.7015199065e-001
312,PIN26 POK,1,-6.2094801664e-001
313,PIN30 EN,1,-4.9403399229e-001
314,PIN27 FB,1,-4.9319198728e-001
315,PIN29 OTP,1,-4.9272099137e-001
316,EXPOSED_PAD,1,5.0468098372e-002
401,Vfb_pre,1,4.9843400717e-001
402,Vout_pre,1,1.4952900410e+000
403,Vfb_err,1,-3.1409799121e-003
406,Vfb Err Post Expected,1,8.5902301362e-004
407,Vref_post,1,4.2521400610e-004
409,Vfb_post,1,5.0044798851e-001
410,Ibias_pre,1,6.4878798867e-007
411,Ibias_err,1,-5.4133498669e-001
412,IbiasPost,1,1.0165100548e-006
414,IbiasErr2,1,1.6238199547e-002
415,Ilim8_pre,1,1.0612299919e+001
416,Ilim_err,1,3.3303800225e-001
417,Ilim8Post,1,7.2471199036e+000
418,Ilim_err2,1,2.3892899975e-002
420,Ilim8_sc,1,2.0940399170e+000
421,IlimSCerr,1,-7.3435001075e-002
502,Ishdn,1,-1.3851399672e-007
503,Icc1425,1,6.0220801970e-004
504,Icc18,1,6.0721102636e-004
505,Icc36,1,6.1363802524e-004
506,Ien_high,1,-1.4964199879e-009
507,Idrop_out,1,8.6935597938e-004
508,Ien_low,1,-1.2405599881e-009
509,Ifb,1,-6.8312600021e-009
511,Ipok/r,1,1.3350400429e-012
601,VO14_2mA,1,1.2273900509e+000
602,VFB14_2mA,1,5.0060600042e-001
603,VO36_2mA,1,1.2276599407e+000
604,VFB36_2mA,1,5.0066602230e-001
605,Line_Reg,1,9.8478500149e-005
606,TM_CHECK,1,1.0287400301e-006
607,VO18_4A,1,1.5041099787e+000
609,VFB18_4A,1,5.0058501959e-001
610,TM_CHECK,1,1.0346200270e-006
611,VO36_4A,1,3.4031100273e+000
613,VFB36_4A,1,5.0062602758e-001
614,TM_CHECK,1,1.0138600146e-006
615,VO14_4A,1,1.2274500132e+000
617,VFB14_4A,1,5.0066399574e-001
618,Load_Reg,1,-1.3910100279e-005
619,VO_Char,1,5.0067001581e-001
620,TM_CHECK,1,1.0278099580e-006
621,V_DO_TM,1,5.7454198599e-002
622,I_DO_TM,1,5.0062298775e-001
623,V_DO_RM,1,1.6877600923e-002
624,I_DO_RM,1,1.0006400347e+000
625,RATIO,1,3.4041700363e+000
713,POK_LowV,1,3.2199500129e-003
714,POK_del,1,7.0197100285e-005

#########################################

#### RESULT packet 6 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,5
Software binning,1 
PAT binning,1 
Tests executed,65 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-4.6482101083e-001
302,PIN8 OUT2,1,-4.6326801181e-001
303,PIN9 OUT3,1,-4.8898899555e-001
304,PIN10 OUT4,1,-4.9226400256e-001
305,PIN11 OUT5,1,-4.9277698994e-001
306,PIN6 IN6,1,-3.8280400634e-001
307,PIN7 OUT1,1,-4.7507700324e-001
308,PIN3 IN3,1,-4.6980598569e-001
309,PIN4 IN4,1,-4.7002598643e-001
310,PIN5 IN5,1,-4.6992298961e-001
311,PIN2 IN2,1,-4.6990200877e-001
312,PIN26 POK,1,-6.2133502960e-001
313,PIN30 EN,1,-4.9415901303e-001
314,PIN27 FB,1,-4.9294200540e-001
315,PIN29 OTP,1,-4.9304598570e-001
316,EXPOSED_PAD,1,5.0655301660e-002
401,Vfb_pre,1,4.9608600140e-001
402,Vout_pre,1,1.4885699749e+000
403,Vfb_err,1,-7.8897103667e-003
406,Vfb Err Post Expected,1,1.1028700101e-004
407,Vref_post,1,3.9189300151e-004
409,Vfb_post,1,5.0015801191e-001
410,Ibias_pre,1,6.5663499527e-007
411,Ibias_err,1,-5.2291500568e-001
412,IbiasPost,1,9.9531098385e-007
414,IbiasErr2,1,-4.7110398300e-003
415,Ilim8_pre,1,1.0118800163e+001
416,Ilim_err,1,3.0050998926e-001
417,Ilim8Post,1,7.2547302246e+000
418,Ilim_err2,1,2.4967800826e-002
420,Ilim8_sc,1,2.1961901188e+000
421,IlimSCerr,1,-2.8236199170e-002
502,Ishdn,1,1.7013400466e-008
503,Icc1425,1,6.5218401141e-004
504,Icc18,1,6.6449702717e-004
505,Icc36,1,6.7811901681e-004
506,Ien_high,1,-2.0312400650e-009
507,Idrop_out,1,8.5657899035e-004
508,Ien_low,1,-9.3382901412e-010
509,Ifb,1,-3.1845999171e-009
511,Ipok/r,1,1.0836099813e-012
601,VO14_2mA,1,1.2266000509e+000
602,VFB14_2mA,1,5.0021398067e-001
603,VO36_2mA,1,1.2267800570e+000
604,VFB36_2mA,1,5.0024998188e-001
605,Line_Reg,1,6.7215500167e-005
606,TM_CHECK,1,1.0049000139e-006
607,VO18_4A,1,1.5030200481e+000
609,VFB18_4A,1,5.0017702579e-001
610,TM_CHECK,1,1.0105300134e-006
611,VO36_4A,1,3.4001100063e+000
613,VFB36_4A,1,5.0009799004e-001
614,TM_CHECK,1,9.9306396351e-007
615,VO14_4A,1,1.2266900539e+000
617,VFB14_4A,1,5.0001901388e-001
618,Load_Reg,1,-2.0129800760e-005
619,VO_Char,1,5.0036299229e-001
620,TM_CHECK,1,1.0041200085e-006
621,V_DO_TM,1,5.9743698686e-002
622,I_DO_TM,1,5.0063502789e-001
623,V_DO_RM,1,1.7348499969e-002
624,I_DO_RM,1,1.0006300211e+000
625,RATIO,1,3.4437398911e+000
713,POK_LowV,1,3.2074600458e-003
714,POK_del,1,7.1467999078e-005

#########################################

#### RESULT packet 7 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,5
Software binning,6 
PAT binning,6 
Tests executed,16 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-3.1502598524e-001
302,PIN8 OUT2,1,-4.9075898528e-001
303,PIN9 OUT3,1,-4.8761498928e-001
304,PIN10 OUT4,1,-4.8701599240e-001
305,PIN11 OUT5,1,-4.8765400052e-001
306,PIN6 IN6,1,-1.1920800060e-001
307,PIN7 OUT1,1,-1.1269900203e-001
308,PIN3 IN3,1,-4.6818199754e-001
309,PIN4 IN4,1,-4.6777799726e-001
310,PIN5 IN5,1,-4.6792399883e-001
311,PIN2 IN2,1,-4.6852800250e-001
312,PIN26 POK,1,-5.6065899134e-001
313,PIN30 EN,1,-4.9578300118e-001
314,PIN27 FB,1,-4.9606499076e-001
315,PIN29 OTP,1,-4.9514499307e-001
316,EXPOSED_PAD,1,5.0530500710e-002
401,Vfb_pre,0,n/a 
402,Vout_pre,0,n/a 
403,Vfb_err,0,n/a 
406,Vfb Err Post Expected,0,n/a 
407,Vref_post,0,n/a 
409,Vfb_post,0,n/a 
410,Ibias_pre,0,n/a 
411,Ibias_err,0,n/a 
412,IbiasPost,0,n/a 
414,IbiasErr2,0,n/a 
415,Ilim8_pre,0,n/a 
416,Ilim_err,0,n/a 
417,Ilim8Post,0,n/a 
418,Ilim_err2,0,n/a 
420,Ilim8_sc,0,n/a 
421,IlimSCerr,0,n/a 
502,Ishdn,0,n/a 
503,Icc1425,0,n/a 
504,Icc18,0,n/a 
505,Icc36,0,n/a 
506,Ien_high,0,n/a 
507,Idrop_out,0,n/a 
508,Ien_low,0,n/a 
509,Ifb,0,n/a 
511,Ipok/r,0,n/a 
601,VO14_2mA,0,n/a 
602,VFB14_2mA,0,n/a 
603,VO36_2mA,0,n/a 
604,VFB36_2mA,0,n/a 
605,Line_Reg,0,n/a 
606,TM_CHECK,0,n/a 
607,VO18_4A,0,n/a 
609,VFB18_4A,0,n/a 
610,TM_CHECK,0,n/a 
611,VO36_4A,0,n/a 
613,VFB36_4A,0,n/a 
614,TM_CHECK,0,n/a 
615,VO14_4A,0,n/a 
617,VFB14_4A,0,n/a 
618,Load_Reg,0,n/a 
619,VO_Char,0,n/a 
620,TM_CHECK,0,n/a 
621,V_DO_TM,0,n/a 
622,I_DO_TM,0,n/a 
623,V_DO_RM,0,n/a 
624,I_DO_RM,0,n/a 
625,RATIO,0,n/a 
713,POK_LowV,0,n/a 
714,POK_del,0,n/a 

#########################################

#### RESULT packet 8 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,5
Software binning,1 
PAT binning,1 
Tests executed,65 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-4.5807498693e-001
302,PIN8 OUT2,1,-4.7039100528e-001
303,PIN9 OUT3,1,-4.9223798513e-001
304,PIN10 OUT4,1,-4.9451300502e-001
305,PIN11 OUT5,1,-4.9502599239e-001
306,PIN6 IN6,1,-3.6417698860e-001
307,PIN7 OUT1,1,-4.7770100832e-001
308,PIN3 IN3,1,-4.6430900693e-001
309,PIN4 IN4,1,-4.6428000927e-001
310,PIN5 IN5,1,-4.6417599916e-001
311,PIN2 IN2,1,-4.6415498853e-001
312,PIN26 POK,1,-6.1962300539e-001
313,PIN30 EN,1,-4.9603301287e-001
314,PIN27 FB,1,-4.9581500888e-001
315,PIN29 OTP,1,-4.9343299866e-001
316,EXPOSED_PAD,1,5.0468098372e-002
401,Vfb_pre,1,4.9630498886e-001
402,Vout_pre,1,1.4892100096e+000
403,Vfb_err,1,-7.4457800947e-003
406,Vfb Err Post Expected,1,5.5422098376e-004
407,Vref_post,1,2.7319000219e-004
409,Vfb_post,1,5.0032097101e-001
410,Ibias_pre,1,5.7186798585e-007
411,Ibias_err,1,-7.4865502119e-001
412,IbiasPost,1,9.8646603419e-007
414,IbiasErr2,1,-1.3719299808e-002
415,Ilim8_pre,1,1.0529600143e+001
416,Ilim_err,1,3.2779800892e-001
417,Ilim8Post,1,7.2560601234e+000
418,Ilim_err2,1,2.5155700743e-002
420,Ilim8_sc,1,2.2193300724e+000
421,IlimSCerr,1,-1.7995899543e-002
502,Ishdn,1,-6.6730797244e-007
503,Icc1425,1,6.2156602507e-004
504,Icc18,1,6.2609201996e-004
505,Icc36,1,6.2943901867e-004
506,Ien_high,1,-1.8110200006e-009
507,Idrop_out,1,8.8135502301e-004
508,Ien_low,1,-1.2012399964e-009
509,Ifb,1,-3.2474700706e-009
511,Ipok/r,1,2.0893200364e-012
601,VO14_2mA,1,1.2272200584e+000
602,VFB14_2mA,1,5.0047498941e-001
603,VO36_2mA,1,1.2273000479e+000
604,VFB36_2mA,1,5.0042301416e-001
605,Line_Reg,1,3.0481400245e-005
606,TM_CHECK,1,9.9704504919e-007
607,VO18_4A,1,1.5037000179e+000
609,VFB18_4A,1,5.0040000677e-001
610,TM_CHECK,1,1.0030900057e-006
611,VO36_4A,1,3.4016299248e+000
613,VFB36_4A,1,5.0036698580e-001
614,TM_CHECK,1,9.8344003163e-007
615,VO14_4A,1,1.2279100418e+000
617,VFB14_4A,1,5.0028198957e-001
618,Load_Reg,1,-1.7261999892e-004
619,VO_Char,1,5.0050598383e-001
620,TM_CHECK,1,9.9619398952e-007
621,V_DO_TM,1,5.7884499431e-002
622,I_DO_TM,1,5.0068199635e-001
623,V_DO_RM,1,1.6723399982e-002
624,I_DO_RM,1,1.0006899834e+000
625,RATIO,1,3.4612998962e+000
713,POK_LowV,1,3.3698899206e-003
714,POK_del,1,7.2070601163e-005

#########################################

#### RESULT packet 9 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,5
Software binning,1 
PAT binning,1 
Tests executed,65 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-4.6457201242e-001
302,PIN8 OUT2,1,-4.6714198589e-001
303,PIN9 OUT3,1,-4.8986399174e-001
304,PIN10 OUT4,1,-4.9238899350e-001
305,PIN11 OUT5,1,-4.9290099740e-001
306,PIN6 IN6,1,-3.7415900826e-001
307,PIN7 OUT1,1,-4.7270300984e-001
308,PIN3 IN3,1,-4.7055599093e-001
309,PIN4 IN4,1,-4.7040098906e-001
310,PIN5 IN5,1,-4.7042301297e-001
311,PIN2 IN2,1,-4.7040200233e-001
312,PIN26 POK,1,-6.2098497152e-001
313,PIN30 EN,1,-4.9428400397e-001
314,PIN27 FB,1,-4.9319198728e-001
315,PIN29 OTP,1,-4.9289599061e-001
316,EXPOSED_PAD,1,5.0592899323e-002
401,Vfb_pre,1,4.9784401059e-001
402,Vout_pre,1,1.4937100410e+000
403,Vfb_err,1,-4.3302602135e-003
406,Vfb Err Post Expected,1,-3.3026101300e-004
407,Vref_post,1,4.4812099077e-004
409,Vfb_post,1,4.9992701411e-001
410,Ibias_pre,1,6.4485402618e-007
411,Ibias_err,1,-5.5073797703e-001
412,IbiasPost,1,1.0119199487e-006
414,IbiasErr2,1,1.1776300147e-002
415,Ilim8_pre,1,1.0320099831e+001
416,Ilim_err,1,3.1415501237e-001
417,Ilim8Post,1,7.3829998970e+000
418,Ilim_err2,1,4.3090198189e-002
420,Ilim8_sc,1,2.2620000839e+000
421,IlimSCerr,1,8.8402000256e-004
502,Ishdn,1,-4.1846399768e-007
503,Icc1425,1,6.3161301659e-004
