GROUP,,,,,,,,,,,,,,"[u'580:X_Voq(0mT)', u'4325:NB_Uout@0mT']"
DISTANCE,,,,,,,,,,,,,,near

RULE,MVBIN,SBIN,HBIN,Parameter, SBIN,HBIN,DIE_X,DIE_Y,SITE,TIME,TOTAL_TESTS,LOT_ID,WAFER_ID,1:rule5,1:rule5_zscore
PID-1067,0,1,1,PID-1067,1,1,23,38,0,8.42,268,249028,24,1.91985374389,1.00142776752
PID-1068,0,1,1,PID-1068,1,1,24,38,1,8.544,268,249028,24,0.136883214597,-2.35183208301
PID-1069,0,1,1,PID-1069,1,1,24,39,2,8.571,268,249028,24,2.16136222381,1.30114000369
PID-107,0,1,1,PID-107,1,1,43,14,1,8.207,268,249028,24,1.64366199509,0.646784037302
PID-1070,0,1,1,PID-1070,1,1,23,39,3,8.58,268,249028,24,1.86964719946,0.938306337437
PID-1071,0,1,1,PID-1071,1,1,21,38,0,7.468,267,249028,24,1.16111566789,-0.0227980225736
PID-1072,0,1,1,PID-1072,1,1,22,38,1,7.553,267,249028,24,1.11531839002,-0.091566901232
PID-1073,0,1,1,PID-1073,1,1,22,39,2,7.623,267,249028,24,1.17616341682,-0.000605096428897
PID-1074,0,1,1,PID-1074,1,1,21,39,3,7.631,267,249028,24,0.473930217197,-1.24667754171
PID-1075,0,1,1,PID-1075,1,1,19,38,0,7.398,267,249028,24,0.779247489577,-0.636311544418
PID-1076,0,1,1,PID-1076,1,1,20,38,1,7.404,267,249028,24,1.15592930449,-0.0317063564283
PID-1077,0,1,1,PID-1077,1,1,20,39,2,7.55,267,249028,24,0.587650574986,-0.999589048277
PID-1078,0,1,1,PID-1078,1,1,19,39,3,7.559,267,249028,24,1.56357976182,0.540774021771
PID-1079,0,1,1,PID-1079,1,1,16,38,0,7.399,267,249028,24,2.08898186523,1.2116659985
PID-108,0,1,1,PID-108,1,1,43,15,2,8.358,268,249028,24,3.03587424068,2.32765247665
PID-1080,0,1,1,PID-1080,1,1,17,38,1,7.482,267,249028,24,1.25587089006,0.114541496636
PID-1081,0,1,1,PID-1081,1,1,17,39,2,7.55,267,249028,24,1.9409071026,1.0278065869
PID-1082,0,1,1,PID-1082,1,1,16,39,3,7.559,267,249028,24,0.597088181661,-0.979248782253
PID-1083,0,1,1,PID-1083,1,1,14,38,0,7.643,267,249028,24,0.595614489073,-0.983301927947
PID-1084,0,1,1,PID-1084,1,1,15,38,1,7.752,267,249028,24,2.39482235191,1.58211440592
PID-1085,0,1,1,PID-1085,1,1,15,39,2,7.794,267,249028,24,1.71318893488,0.738257470288
PID-1086,0,1,1,PID-1086,1,1,14,39,3,7.804,267,249028,24,1.00718938558,-0.25769414582
PID-1087,0,1,1,PID-1087,1,1,12,38,0,7.417,267,249028,24,1.27373805738,0.140393870172
PID-1088,0,1,1,PID-1088,1,1,13,38,1,7.523,267,249028,24,2.45283801861,1.65108594588
PID-1089,0,1,1,PID-1089,1,1,13,39,2,7.569,267,249028,24,1.01228759599,-0.249844516142
PID-109,0,1,1,PID-109,1,1,42,15,3,8.372,268,249028,24,1.14493970641,-0.0480854192346
PID-1090,0,1,1,PID-1090,1,1,12,39,3,7.577,267,249028,24,1.94215820194,1.03031488681
PID-1091,0,1,1,PID-1091,1,1,12,40,0,5.894,267,249028,24,0.41415657609,-1.38839110116
PID-1092,0,1,1,PID-1092,1,1,13,40,1,5.918,267,249028,24,1.24289566669,0.0957849985593
PID-1093,0,1,1,PID-1093,1,1,13,41,2,5.989,267,249028,24,1.80550459547,0.856830189594
PID-1094,0,1,1,PID-1094,1,1,14,40,0,7.263,267,249028,24,1.02315860772,-0.232632746929
PID-1095,0,1,1,PID-1095,1,1,15,40,1,7.279,267,249028,24,1.07055218494,-0.159945525008
PID-1096,0,1,1,PID-1096,1,1,15,41,2,7.423,267,249028,24,1.48902658046,0.441176855816
PID-1097,0,1,1,PID-1097,1,1,14,41,3,7.431,267,249028,24,1.01855403316,-0.240446561949
PID-1098,0,1,1,PID-1098,1,1,16,40,0,7.252,267,249028,24,0.601938644633,-0.971164516697
PID-1099,0,1,1,PID-1099,1,1,17,40,1,7.334,267,249028,24,0.769496807961,-0.654027013404
PID-11,0,1,1,PID-11,1,1,38,9,2,3.468,267,249028,24,0.230496462744,-1.93773599762
PID-110,0,1,1,PID-110,1,1,40,14,0,7.231,267,249028,24,0.760884080796,-0.670067131402
PID-1100,0,1,1,PID-1100,1,1,17,41,2,7.405,267,249028,24,0.264464788493,-1.8183777514
PID-1101,0,1,1,PID-1101,1,1,16,41,3,7.413,267,249028,24,1.87216441991,0.942106444467
PID-1102,0,1,1,PID-1102,1,1,19,40,0,5.849,267,249028,24,1.28727889096,0.1604086676
PID-1103,0,1,1,PID-1103,1,1,20,40,1,5.898,267,249028,24,0.650539132213,-0.874383182415
PID-1104,0,1,1,PID-1104,1,1,20,41,2,5.942,267,249028,24,1.15519650917,-0.0317063564283
PID-1105,0,1,1,PID-1105,1,1,21,40,0,7.266,267,249028,24,2.03325238703,1.14374190039
PID-1106,0,1,1,PID-1106,1,1,22,40,1,7.397,267,249028,24,2.63871969531,1.87001419308
PID-1107,0,1,1,PID-1107,1,1,22,41,2,7.417,267,249028,24,0.287491400869,-1.74349260449
PID-1108,0,1,1,PID-1108,1,1,21,41,3,7.426,267,249028,24,0.743886939394,-0.700621547355
PID-1109,0,1,1,PID-1109,1,1,23,40,0,7.26,267,249028,24,0.319283227777,-1.64571362566
PID-111,0,1,1,PID-111,1,1,41,14,1,7.263,267,249028,24,0.853832667277,-0.508458570343
PID-1110,0,1,1,PID-1110,1,1,24,40,1,7.363,267,249028,24,0.959376616807,-0.333916777787
PID-1111,0,1,1,PID-1111,1,1,24,41,2,7.413,267,249028,24,0.691707131027,-0.796312512277
PID-1112,0,1,1,PID-1112,1,1,23,41,3,7.422,267,249028,24,1.34639008339,0.243907952973
PID-1113,0,1,1,PID-1113,1,1,26,40,0,5.88,267,249028,24,1.12924077756,-0.07052063394
PID-1114,0,1,1,PID-1114,1,1,27,40,1,5.918,267,249028,24,2.39716406154,1.58569070294
PID-1115,0,1,1,PID-1115,1,1,27,41,2,5.974,267,249028,24,2.48176422052,1.68544045657
PID-1116,0,1,1,PID-1116,1,1,28,40,0,7.821,267,249028,24,0.155544928577,-2.25412129274
PID-1117,0,1,1,PID-1117,1,1,29,40,1,7.837,267,249028,24,1.49380565104,0.446600877386
PID-1118,0,1,1,PID-1118,1,1,29,41,2,7.974,267,249028,24,0.632355554899,-0.9094692122
PID-1119,0,1,1,PID-1119,1,1,28,41,3,7.982,267,249028,24,1.09586480364,-0.12181708869
PID-112,0,1,1,PID-112,1,1,41,15,2,7.387,267,249028,24,1.83369052198,0.892573165237
PID-1120,0,1,1,PID-1120,1,1,30,40,0,7.403,267,249028,24,1.14062273478,-0.0540567467058
PID-1121,0,1,1,PID-1121,1,1,31,40,1,7.442,267,249028,24,0.801113452001,-0.597720199916
PID-1122,0,1,1,PID-1122,1,1,31,41,2,7.556,267,249028,24,1.76696001378,0.806783171783
PID-1123,0,1,1,PID-1123,1,1,30,41,3,7.565,267,249028,24,1.11615111251,-0.0900601214662
PID-1124,0,1,1,PID-1124,1,1,33,40,0,5.889,267,249028,24,0.136248342012,-2.35183208301
PID-1125,0,1,1,PID-1125,1,1,34,40,1,5.967,267,249028,24,0.919512844104,-0.398712930615
PID-1126,0,1,1,PID-1126,1,1,34,41,2,5.989,267,249028,24,1.84343977596,0.905301519594
