#### RESULT packet 0 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,4
Software binning,1 
PAT binning,1 
Tests executed,65 

Test#,TestName,Nb. results,Results
624,I_DO_RM,1,1.0006899834e+000 
625,RATIO,1,3.4332098961e+000 
713,POK_LowV,1,3.2641401049e-003 
714,POK_del,1,6.9433903263e-005 

#########################################

#### RESULT packet 4 ####
Nb of sites,1
Nb of tests,65
Nb of allocated runs,1
Nb of valid runs,1

#### SITE,4
Software binning,1 
PAT binning,1 
Tests executed,65 

Test#,TestName,Nb. results,Results
301,PIN1 IN1,1,-4.5381298661e-001 
302,PIN8 OUT2,1,-4.6139299870e-001 
303,PIN9 OUT3,1,-4.8677799106e-001 
304,PIN10 OUT4,1,-4.9000900984e-001 
305,PIN11 OUT5,1,-4.9053698778e-001 
306,PIN6 IN6,1,-3.6808601022e-001 
307,PIN7 OUT1,1,-4.7816699743e-001 
308,PIN3 IN3,1,-4.6009799838e-001 
309,PIN4 IN4,1,-4.6014899015e-001 
310,PIN5 IN5,1,-4.6004998684e-001 
311,PIN2 IN2,1,-4.6031799912e-001 
312,PIN26 POK,1,-6.1749702692e-001 
313,PIN30 EN,1,-4.9326398969e-001 
314,PIN27 FB,1,-4.9235001206e-001 
315,PIN29 OTP,1,-4.9251899123e-001 
316,EXPOSED_PAD,1,4.5622900128e-002 
401,Vfb_pre,1,4.9570599198e-001 
402,Vout_pre,1,1.4859499931e+000 
403,Vfb_err,1,-8.6630303413e-003 
406,Vfb Err Post Expected,1,-6.6303001950e-004 
407,Vref_post,1,5.0511601148e-004 
409,Vfb_post,1,4.9966201186e-001 
410,Ibias_pre,1,6.3090197955e-007 
411,Ibias_err,1,-5.8503299952e-001 
412,IbiasPost,1,9.8550299299e-007 
414,IbiasErr2,1,-1.4710299671e-002 
415,Ilim8_pre,1,1.0099900246e+001 
416,Ilim_err,1,2.9919800162e-001 
417,Ilim8Post,1,7.2222199440e+000 
418,Ilim_err2,1,2.0375199616e-002 
420,Ilim8_sc,1,2.1278700829e+000 
421,IlimSCerr,1,-5.8462899178e-002 
502,Ishdn,1,2.5255699256e-006 
503,Icc1425,1,5.9605797287e-004 
504,Icc18,1,6.0218200088e-004 
505,Icc36,1,6.0772197321e-004 
506,Ien_high,1,-1.3858999504e-009 
507,Idrop_out,1,8.2526198821e-004 
508,Ien_low,1,-6.9016697912e-010 
509,Ifb,1,-7.8971398310e-009 
511,Ipok/r,1,2.9455199130e-012 
601,VO14_2mA,1,1.2251100540e+000 
602,VFB14_2mA,1,4.9986600876e-001 
