mysql> show table status;
+-------------------------+--------+---------+------------+------------+----------------+-------------+------------------+--------------+-----------+----------------+---------------------+---------------------+---------------------+-------------------+----------+----------------+-----------------------+
| Name                    | Engine | Version | Row_format | Rows       | Avg_row_length | Data_length | Max_data_length  | Index_length | Data_free | Auto_increment | Create_time         | Update_time         | Check_time          | Collation         | Checksum | Create_options | Comment               |
| ft_mptest_info          | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:59 | 2008-11-07 14:45:59 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_mptest_limits        | MyISAM |      10 | Fixed      |          0 |              0 |           0 | 4785074604081151 |         1024 |         0 |           NULL | 2008-11-07 14:45:59 | 2008-11-07 14:45:59 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_mptest_results       | MyISAM |      10 | Fixed      |          0 |              0 |           0 | 4785074604081151 |         1024 |         0 |           NULL | 2008-11-07 14:45:59 | 2008-11-07 14:45:59 | 2008-11-07 17:49:05 | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_mptest_stats_samples | MyISAM |      10 | Fixed      |          0 |              0 |           0 | 8725724278030335 |         1024 |         0 |           NULL | 2008-11-07 14:45:59 | 2008-11-07 14:45:59 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_mptest_stats_summary | MyISAM |      10 | Fixed      |          0 |              0 |           0 | 9851624184872959 |         1024 |         0 |           NULL | 2008-11-07 14:45:59 | 2008-11-07 14:45:59 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_parts_stats_samples  | MyISAM |      10 | Fixed      |          0 |              0 |           0 | 3659174697238527 |         1024 |         0 |           NULL | 2008-11-07 14:45:58 | 2008-11-07 14:45:58 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_parts_stats_summary  | MyISAM |      10 | Fixed      |          0 |              0 |           0 | 4503599627370495 |         1024 |         0 |           NULL | 2008-11-07 14:45:58 | 2008-11-07 14:45:58 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_prod_alarm           | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:57 | 2008-11-07 14:45:57 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_ptest_info           | MyISAM |      10 | Dynamic    |          0 |              0 |           0 |  281474976710655 |         1024 |         0 |           NULL | 2008-11-07 14:45:58 | 2008-11-07 14:45:58 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_ptest_limits         | MyISAM |      10 | Fixed      |          0 |              0 |           0 | 4785074604081151 |         1024 |         0 |           NULL | 2008-11-07 14:45:58 | 2008-11-07 14:45:58 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_ptest_results        | MyISAM |      10 | Fixed      |          0 |              0 |           0 | 4222124650659839 |         1024 |         0 |           NULL | 2008-11-07 14:45:59 | 2008-11-07 14:45:59 | 2008-11-07 17:49:05 | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
| ft_ptest_stats_samples  | MyISAM |      10 | Fixed      |          0 |              0 |           0 | 8725724278030335 |         1024 |         0 |           NULL | 2008-11-07 14:45:58 | 2008-11-07 14:45:58 | NULL                | latin1_swedish_ci |     NULL | pack_keys=1    |                       |
